alpha,method,n,min_surplus_mean,min_surplus_std,avg_surplus_mean,nash_welfare_mean,kl_from_reference_mean,exploitability_mean,weight_l1_mean,target_log_ratio_l2_mean,fixed_point_residual_max,tv_to_exact_A_mean,tv_to_exact_B_mean,rho_star_mean,min_surplus_over_rho_star_mean
0.0,A_exact_global_nash,3,0.027590968140842498,0.00017298074579322203,0.03151260828935686,-13.850898736100882,1.5954038547056648,0.07252204100801013,,328.2725598213303,,0.0,0.19148806642280738,0.030000047518233583,0.9196974812814253
0.0,B_exact_proximal_nash,3,0.02594020273514207,0.001211441407022525,0.02972248301631673,-14.087113043665886,1.1064097067591867,0.07017764097625852,,62.59896580671808,,0.19148806642280738,0.0,0.030000047518233583,0.8646720549151131
0.0,C_practical,3,0.024647381692485478,0.001374302255781058,0.0286293808485253,-14.240617608363136,0.9748387593481288,0.06896801195825253,106.08819529588273,46.772397212502476,1.715953357184219e-08,0.2415753846352613,0.05158151698170916,0.030000047518233583,0.8215780884181988
0.0,D_matched_step,3,0.02464034857022186,0.001374250920271972,0.028620895913046413,-14.241792675811864,0.9739477585171277,0.06895882715862925,105.93121699688,46.688842445619706,0.00011716329872524245,0.24190532780437846,0.0519100093260105,0.030000047518233583,0.8213436513807459
0.0,fixed_reference_native,3,0.024707666704897036,0.0013391158335814503,0.028664966543039516,-14.235321103172344,0.9788817915843019,0.06905112473356449,105.93121699688,46.891610911163035,0.0,0.23914936248851926,0.04988148707762866,0.030000047518233583,0.8235875856489923
0.0,reference,3,0.0,0.0,0.0,,0.0,0.03996369907541684,,0.0,,0.7958855150868276,0.6431936045030721,0.030000047518233583,0.0
0.25,A_exact_global_nash,3,0.02758500311896497,0.001967688756502141,0.03159252584885797,-13.84533202522085,1.3364494156823117,0.1243803938631693,,305.44787561278235,,0.0,0.1420015389466145,0.030000020771923656,0.9194994673064077
0.25,B_exact_proximal_nash,3,0.026401496247940054,0.0015836062661823283,0.030091604366869498,-14.035890889070458,0.9533477043398096,0.10943246053815675,,58.61657964273949,,0.1420015389466145,0.0,0.030000020771923656,0.8800492655874632
0.25,C_practical,3,0.025608392513485973,0.0018818675480783797,0.029145781078975207,-14.16709371768016,0.86098552226919,0.10611583217038667,104.673262119468,44.667614847989825,0.6331043085765962,0.19254842206604197,0.05422501168402407,0.030000020771923656,0.8536124927437482
0.25,D_matched_step,3,0.025392761692768717,0.00162767094459471,0.029288732134554688,-14.146927408184114,0.86809798807383,0.107814497867277,96.00001944784286,41.19704310399051,0.2887734695587014,0.15835453564097143,0.046305811554321334,0.030000020771923656,0.8464248036965772
0.25,fixed_reference_native,3,0.02615134988642449,0.001402968151470752,0.03048635066022191,-13.988874048364712,1.0414094033853454,0.11672324048833911,96.00001944784286,51.35257299154096,0.0,0.10800375080679074,0.06944658192663482,0.030000020771923656,0.8717110593102971
0.25,reference,3,0.0,0.0,0.0,,0.0,0.04451386821443754,,0.0,,0.7090205274679411,0.5882757867943734,0.030000020771923656,0.0
0.5,A_exact_global_nash,3,0.02740258380071696,0.00209260444171425,0.0309814335682705,-13.916568634693279,0.9395361238271157,0.16277675236162223,,262.50667417506884,,0.0,0.08425865880557315,0.029999994755525252,0.913419619704103
0.5,B_exact_proximal_nash,3,0.026775672993287206,0.0013403551174572853,0.030078073460704086,-14.030962304208572,0.7071469281712158,0.14613337915275848,,54.620645208036734,,0.08425865880557315,0.0,0.029999994755525252,0.8925225891366462
0.5,C_practical,3,0.004044308535988907,0.0053494986078653295,0.013719662171463564,-19.070362919181107,1.4085618130353665,0.2012108287918256,131.1818313084897,114.56581918298684,0.9999101420678927,0.4512173347260097,0.47170422326696787,0.029999994755525252,0.13481030809993877
0.5,D_matched_step,3,0.0198111570872304,0.0022690896748051867,0.02518953671568558,-14.797818603687622,1.3705116756112872,0.21158543200688154,78.80685675586602,64.37490800368123,0.9804283445688065,0.2615464834170995,0.32385316084492816,0.029999994755525252,0.6603720183511591
0.5,fixed_reference_native,3,0.023728375626949055,0.002189333267769195,0.02866992791566236,-14.246102279300445,1.1084237370297194,0.1932048869019786,78.80685675586602,56.7372271755315,0.0,0.1620822523987309,0.21811870616686155,0.029999994755525252,0.7909459925015113
0.5,reference,3,0.0,0.0,0.0,,0.0,0.054738673900830516,,0.0,,0.5709364778427294,0.49489384722971375,0.029999994755525252,0.0
0.75,A_exact_global_nash,3,0.027420656940912686,0.0015095171309652794,0.030521141568041404,-13.96957374004434,0.6828966514622362,0.18431820001063803,,222.55820007454713,,0.0,0.05476515237130275,0.03000002206964082,0.914021225626418
0.75,B_exact_proximal_nash,3,0.027083188785739547,0.0011795091538978329,0.029981658383028992,-14.039150491660557,0.5408448975246508,0.1706826908242808,,51.74016997026797,,0.05476515237130275,0.0,0.03000002206964082,0.9027722953959749
0.75,C_practical,3,-0.0437078031483266,0.00634306093953663,-0.037823195362174225,,1.472530030904642,0.26160193746043486,189.01490301945486,212.23411612267037,0.9999999999991271,0.6498322522575243,0.6601778401798998,0.03000002206964082,-1.4569256998166569
0.75,D_matched_step,3,0.0007062755593989532,0.002291691017323801,0.007563160257367657,-21.483191588121244,1.5082051066038822,0.3065338830549968,64.29524655843717,106.79205801809019,0.9995394546162019,0.4114339513724861,0.4505963311646286,0.03000002206964082,0.023542501327480165
0.75,fixed_reference_native,3,0.013351586333992539,0.003579974025393845,0.019069370964112858,-15.974291597512847,1.1364105884057423,0.2726250461886894,64.29524655843717,59.08438258621698,0.0,0.2837655106803722,0.31656913575661844,0.03000002206964082,0.4450525503947535
0.75,reference,3,0.0,0.0,0.0,,0.0,0.06684347696643005,,0.0,,0.47385474273503236,0.422729304236425,0.03000002206964082,0.0
1.0,A_exact_global_nash,3,0.024989826448632315,0.0035341728561896213,0.027534695578450882,-14.390132687979525,0.5110866494777859,0.19163243136054878,,193.12973895369524,,0.0,0.03915331726137599,0.02722335307664489,0.9179554913120258
1.0,B_exact_proximal_nash,3,0.024837378778173606,0.003347449415044648,0.02719769952321786,-14.438323871130217,0.41236850495352523,0.18018581624774668,,48.08300841344042,,0.03915331726137599,0.0,0.02722335307664489,0.9123556054335488
1.0,C_practical,3,-0.09230439051287047,0.006144089989375506,-0.08733565662591468,,1.5356189740716255,0.3324624253528794,283.6204566739342,283.7305655035255,1.0,0.6858828689689175,0.6969772427900569,0.02722335307664489,-3.3906326767682065
1.0,D_matched_step,3,-0.028462082038052335,0.004906917977815337,-0.021980199240217782,,1.5017530572804076,0.3860007252627296,56.503109832805045,145.75637644976447,0.9999880483116494,0.49008769594725554,0.5124271964166301,0.02722335307664489,-1.0455024389508492
1.0,fixed_reference_native,3,-0.008763672151850421,0.008118647659052462,-0.00172228329978652,,1.1447444678171081,0.34484368254388453,56.503109832805045,59.61130056440977,0.0,0.3676836968887447,0.3870398473627093,0.02722335307664489,-0.3219174407787716
1.0,reference,3,0.0,0.0,0.0,,0.0,0.07548919158710832,,0.0,,0.3989859711081066,0.3622657560088997,0.02722335307664489,0.0
